source;question;category;source_category
FIDES;Where is the source code stored? (Repository);wh_time_place;development
FIDES;Where is the Docker container that could reproduce the model stored and its associated commit? (if any);wh_time_place;development
FIDES;Where is the script that generated the model stored and its associated commit?;wh_time_place;development
FIDES;Where is the model stored and its associated commit?;wh_time_place;model
FIDES;Which is the base algorithm of the ML-based model?;wh_general;model
FIDES;Which is the package that implements the algorithm?;wh_general;model
FIDES;Which is the version of the package?;wh_general;model
FIDES;Which are the hyperparameter values of the ML-based model?;wh_general;model
FIDES;Which are the optimal values for each parameter of the algorithm?;wh_general;model
FIDES;Which is the validation method?;wh_general;model
FIDES;Which is the validation metric used and its value?;wh_general;model
FIDES;Which is the objective of the model?;wh_general;model
FIDES;In case of classification problems, which are the values of the type class?;wh_general;model
FIDES;Where is the data stored?;wh_time_place;dataset
FIDES;(If the data is tracked with version control) Which is the framework used and the commit for version controlling of a specific set of data?;wh_general;dataset
FIDES;Which is the number of observations used for the training of a given model?;wh_general;model
FIDES;When was the first data point collected within a given model’s training data?;wh_time_place;dataset
FIDES;When was the last data point collected within a given model’s training data?;wh_time_place;dataset
FIDES;Which are the names of the training data variables?;wh_general;dataset
FIDES;Which are the names of the training data predictor variables?;wh_general;dataset
FIDES;Which is the name of the training data response variable?;wh_general;dataset
FIDES;Which is the frequency and quality of a given model training data?;wh_general;dataset
FIDES;How is training data pre-processed?;wh_general;dataset
FIDES;Which is the OS of the deployment server?;wh_general;deployment
FIDES;How is the model triggered, on event or under request?;wh_general;deployment
FIDES;Where are the estimations (derived from the ML-based model executions) stored?;wh_time_place;deployment
FIDES;Is the error between the real and predicted values being stored?;yesno_question;deployment
FIDES;When was the forecast made?;wh_time_place;execution
FIDES;For what point in time is the forecast valid?;wh_general;execution
FIDES;What is the forecast value?;wh_general;execution
FIDES;What is the forecast’s error metric?;wh_general;execution

FIDES;What is the forecast’s error value?;wh_general;execution
